Species Strain Condition Line Genotype RSS r2 rmax rmax_se topt topt_se ctmin ctmin_se ctmax ctmax_se tolerance breadth An_rmax An_topt An_ctmax An_ctmin An_tolerance An_breadth rmax_rel topt_rel ctmax_rel ctmin_rel tolerance_rel breadth_rel
Su Su-1 Treatment 1 I3 0.001 0.975 0.384 0.019 29.59 0.787 4.927 3.694 34.437 0.917 29.51 7.785 0.438 29.255 33.91 4.834 29.076 7.565 -0.054 0.335000000000001 0.527000000000001 0.093 0.434000000000001 0.22
Su Su-1 Treatment 2 I1 0.0008289 0.981 0.357 0.017 30.304 0.722 2.615 4.399 35.539 2.189 32.924 8.147 0.438 29.255 33.91 4.834 29.076 7.565 -0.081 1.049 1.629 -2.219 3.848 0.582
Su Su-1 Treatment 2 I2 0.0007003 0.984 0.36 0.017 30.655 0.668 1.257 4.214 35.083 1.881 33.826 7.744 0.438 29.255 33.91 4.834 29.076 7.565 -0.078 1.4 1.173 -3.577 4.75 0.178999999999999
Su Su-1 Treatment 2 I3 3.888e-06 1 0.364 0.002 30.005 0.073 6.797 0.52 35.669 0.203 28.872 7.966 0.438 29.255 33.91 4.834 29.076 7.565 -0.074 0.75 1.759 1.963 -0.204000000000001 0.401
Su Su-1 Treatment 3 I1 0.001 0.974 0.389 0.021 30.2 0.845 3.225 4.149 34.12 0.896 30.895 7.344 0.438 29.255 33.91 4.834 29.076 7.565 -0.049 0.945 0.210000000000001 -1.609 1.819 -0.221
Su Su-1 Treatment 3 I2 0.001 0.981 0.387 0.017 30.034 0.698 3.965 3.368 34.234 0.781 30.269 7.434 0.438 29.255 33.91 4.834 29.076 7.565 -0.051 0.779 0.324000000000005 -0.869 1.193 -0.131
Su Su-1 Treatment 3 I3 0.001 0.975 0.377 0.018 29.696 0.783 3.598 3.875 34.275 0.819 30.677 7.776 0.438 29.255 33.91 4.834 29.076 7.565 -0.061 0.441000000000003 0.365000000000002 -1.236 1.601 0.210999999999999
Su Su-1 Treatment 4 I1 0.002 0.975 0.399 0.021 29.875 0.81 4.912 3.901 34.771 1.313 29.859 7.828 0.438 29.255 33.91 4.834 29.076 7.565 -0.039 0.620000000000001 0.861000000000004 0.0780000000000003 0.783000000000001 0.263
Su Su-1 Treatment 4 I2 0.000724 0.988 0.397 0.014 29.48 0.53 5.29 2.44 34.297 0.537 29.007 7.696 0.438 29.255 33.91 4.834 29.076 7.565 -0.041 0.225000000000001 0.387 0.456 -0.0689999999999991 0.130999999999999
Su Su-1 Treatment 4 I3 0.002 0.972 0.398 0.021 29.679 0.811 4.777 3.795 34.059 0.691 29.282 7.433 0.438 29.255 33.91 4.834 29.076 7.565 -0.04 0.423999999999999 0.149000000000001 -0.0569999999999995 0.206 -0.132000000000001
Su Su-2 Ancestral Ancestral Ancestral 0.002 0.999 0.447 0.043 28.608 1.308 5.784 4.194 31.778 1.076 25.994 6.14 0.447 28.608 31.778 5.784 25.994 6.14 0 0 0 0 0 0
Su Su-2 Control 1 I1 0.0005348 0.996 0.484 0.035 29.07 0.894 4.466 2.279 31.397 0.445 26.931 5.552 0.447 28.608 31.778 5.784 25.994 6.14 0.037 0.462 -0.381 -1.318 0.937000000000001 -0.588
Su Su-2 Control 1 I2 0.001 0.993 0.465 0.029 28.43 0.902 6.077 2.806 31.633 0.544 25.556 6.098 0.447 28.608 31.778 5.784 25.994 6.14 0.018 -0.178000000000001 -0.145 0.293 -0.437999999999999 -0.0419999999999998
Su Su-2 Control 1 I3 0.0007239 0.995 0.445 0.023 28.415 0.762 5.256 2.708 31.94 0.708 26.684 6.485 0.447 28.608 31.778 5.784 25.994 6.14 -0.002 -0.193000000000001 0.162000000000003 -0.528 0.690000000000001 0.345000000000001
Su Su-2 Control 2 I1 0.001 0.992 0.468 0.035 28.642 1.037 5.854 2.959 31.494 0.524 25.64 5.848 0.447 28.608 31.778 5.784 25.994 6.14 0.021 0.0339999999999989 -0.283999999999999 0.0700000000000003 -0.353999999999999 -0.292
Su Su-2 Control 2 I2 0.0008621 0.994 0.455 0.039 29.161 0.919 4.824 3.197 31.955 1.365 27.131 5.966 0.447 28.608 31.778 5.784 25.994 6.14 0.00800000000000001 0.553000000000001 0.177 -0.96 1.137 -0.173999999999999
Su Su-2 Control 2 I3 0.001 0.992 0.468 0.033 28.521 0.999 6.043 3.008 31.585 0.575 25.542 6.025 0.447 28.608 31.778 5.784 25.994 6.14 0.021 -0.0869999999999997 -0.192999999999998 0.259 -0.451999999999998 -0.114999999999999
Su Su-2 Control 3 I1 0.003 0.981 0.445 0.034 27.825 1.194 7.382 4.201 32.133 1.076 24.751 6.649 0.447 28.608 31.778 5.784 25.994 6.14 -0.002 -0.783000000000001 0.355000000000004 1.598 -1.243 0.509
Su Su-2 Control 3 I2 0.002 0.988 0.454 0.036 28.462 1.127 5.919 3.738 31.836 0.937 25.917 6.279 0.447 28.608 31.778 5.784 25.994 6.14 0.00700000000000001 -0.146000000000001 0.0579999999999998 0.135 -0.0769999999999982 0.139
Su Su-2 Control 3 I3 0.0007467 0.995 0.49 0.058 29.347 1.258 4.804 2.635 31.289 0.525 26.485 5.21 0.447 28.608 31.778 5.784 25.994 6.14 0.043 0.739000000000001 -0.488999999999997 -0.98 0.491 -0.93
Su Su-2 Control 4 I1 0.002 0.989 0.43 0.029 28.168 0.979 6.775 3.628 32.358 1.236 25.583 6.709 0.447 28.608 31.778 5.784 25.994 6.14 -0.017 -0.440000000000001 0.579999999999998 0.991000000000001 -0.411000000000001 0.569
Su Su-2 Control 4 I2 0.002 0.989 0.46 0.038 28.582 1.114 5.928 3.547 31.765 0.889 25.837 6.136 0.447 28.608 31.778 5.784 25.994 6.14 0.013 -0.0259999999999998 -0.0129999999999981 0.144 -0.157 -0.00399999999999956
Su Su-2 Control 4 I3 4.962e-30 1 0.484 1.902e-14 30.051 3.922e-13 1.296 4.878e-13 31.085 7.831e-14 29.789 4.825 0.447 28.608 31.778 5.784 25.994 6.14 0.037 1.443 -0.692999999999998 -4.488 3.795 -1.315
Su Su-2 Treatment 1 I1 0.0005042 0.99 0.363 0.012 29.133 0.5 6.685 2.18 35.026 0.763 28.341 8.166 0.447 28.608 31.778 5.784 25.994 6.14 -0.084 0.524999999999999 3.248 0.901 2.347 2.026
Su Su-2 Treatment 1 I2 0.0004966 0.99 0.356 0.011 29.187 0.503 6.277 2.229 34.839 0.698 28.562 8.071 0.447 28.608 31.778 5.784 25.994 6.14 -0.091 0.579000000000001 3.061 0.493 2.568 1.931
Su Su-2 Treatment 1 I3 0.0001881 0.995 0.329 0.007 28.99 0.332 5.414 1.529 34.517 0.357 29.103 8.082 0.447 28.608 31.778 5.784 25.994 6.14 -0.118 0.381999999999998 2.739 -0.37 3.109 1.942
Su Su-2 Treatment 2 I1 0.001 0.967 0.35 0.021 29.198 0.973 6.55 4.862 36.612 2.972 30.062 9.222 0.447 28.608 31.778 5.784 25.994 6.14 -0.097 0.59 4.834 0.766 4.068 3.082
Su Su-2 Treatment 2 I2 0.0009307 0.979 0.349 0.016 29.343 0.716 5.725 3.274 34.84 1.033 29.115 8.094 0.447 28.608 31.778 5.784 25.994 6.14 -0.098 0.734999999999999 3.062 -0.0590000000000002 3.121 1.954
Su Su-2 Treatment 2 I3 6.812e-05 0.998 0.369 0.006 28.598 0.277 12.437 1.321 36.003 0.557 23.566 8.097 0.447 28.608 31.778 5.784 25.994 6.14 -0.078 -0.0100000000000016 4.225 6.653 -2.428 1.957
Su Su-2 Treatment 3 I1 0.0004003 0.992 0.349 0.01 29.488 0.459 6.158 2.061 34.819 0.681 28.661 7.949 0.447 28.608 31.778 5.784 25.994 6.14 -0.098 0.879999999999999 3.041 0.374000000000001 2.667 1.809
Su Su-2 Treatment 3 I2 0.0003976 0.991 0.343 0.01 29.602 0.481 4.672 2.293 34.549 0.611 29.877 7.903 0.447 28.608 31.778 5.784 25.994 6.14 -0.104 0.994 2.771 -1.112 3.883 1.763
Su Su-2 Treatment 3 I3 0.002 0.968 0.366 0.022 29.15 0.913 7.539 3.883 35.444 1.737 27.905 8.309 0.447 28.608 31.778 5.784 25.994 6.14 -0.081 0.541999999999998 3.666 1.755 1.911 2.169
Su Su-2 Treatment 4 I1 0.0005426 0.988 0.357 0.012 29.408 0.543 4.689 2.597 34.633 0.695 29.944 8.08 0.447 28.608 31.778 5.784 25.994 6.14 -0.09 0.800000000000001 2.855 -1.095 3.95 1.94
